File,Model,Source domain,Exp,Ablation,Type,p,r,f1,found
final_annotations/flair_baseline/bert-cased0/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.7454545454545455,0.5540540540540541,0.6356589147286822,55
final_annotations/flair_baseline/bert-cased1/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.7272727272727273,0.5405405405405406,0.6201550387596899,55
final_annotations/flair_baseline/bert-cased2/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.7192982456140351,0.5540540540540541,0.6259541984732825,57
final_annotations/flair_baseline/bert-cased3/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.6724137931034483,0.527027027027027,0.5909090909090909,58
final_annotations/flair_baseline/bert-cased4/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.8823529411764706,0.40540540540540543,0.5555555555555556,34
final_annotations/flair_baseline/bert-cased5/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.8,0.4864864864864865,0.6050420168067226,45
final_annotations/flair_baseline/bert-cased6/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.78,0.527027027027027,0.6290322580645161,50
final_annotations/flair_baseline/bert-cased7/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.7307692307692307,0.5135135135135135,0.6031746031746031,52
final_annotations/flair_baseline/bert-cased8/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.88,0.2972972972972973,0.4444444444444444,25
final_annotations/flair_baseline/bert-cased9/pred_iobes.txt,Baseline,art,baseline,,WORK_OF_ART,0.6851851851851852,0.5,0.5781250000000001,54
final_annotations/crossnermodels/multicell/bert/orig_size/multilstm_science_art.decode,Multi-Cell_BERT,science,orig_size,,WORK_OF_ART,0.7142857142857143,0.33783783783783783,0.4587155963302752,35
final_annotations/crossnermodels/multicell/bert/orig_size/multilstm_ai_art.decode,Multi-Cell_BERT,ai,orig_size,,WORK_OF_ART,0.725,0.3918918918918919,0.5087719298245615,40
final_annotations/crossnermodels/multicell/bert/orig_size/multilstm_music_art.decode,Multi-Cell_BERT,music,orig_size,,WORK_OF_ART,0.7575757575757576,0.33783783783783783,0.46728971962616817,33
final_annotations/crossnermodels/multicell/bert/orig_size/multilstm_conll_art.decode,Multi-Cell_BERT,conll,orig_size,,WORK_OF_ART,0.6,0.16216216216216217,0.25531914893617025,20
final_annotations/crossnermodels/multicell/bert/orig_size/multilstm_politics_art.decode,Multi-Cell_BERT,politics,orig_size,,WORK_OF_ART,0.7419354838709677,0.3108108108108108,0.4380952380952381,31
final_annotations/crossnermodels/multicell/bert/orig_size/multilstm_literature_art.decode,Multi-Cell_BERT,literature,orig_size,,WORK_OF_ART,0.6666666666666666,0.2702702702702703,0.3846153846153846,30
final_annotations/crossnermodels/multicell/bert/balanced3/multilstm_literature_art3.decode,Multi-Cell_BERT,literature,balanced,,WORK_OF_ART,0.7575757575757576,0.33783783783783783,0.46728971962616817,33
final_annotations/crossnermodels/multicell/bert/balanced3/multilstm_ai_art.decode,Multi-Cell_BERT,ai,balanced,,WORK_OF_ART,0.7575757575757576,0.33783783783783783,0.46728971962616817,33
final_annotations/crossnermodels/multicell/bert/balanced3/multilstm_politics_art3.decode,Multi-Cell_BERT,politics,balanced,,WORK_OF_ART,0.7428571428571429,0.35135135135135137,0.47706422018348627,35
final_annotations/crossnermodels/multicell/bert/balanced3/multilstm_conll_art.decode,Multi-Cell_BERT,conll,balanced,,WORK_OF_ART,0.7027027027027027,0.35135135135135137,0.46846846846846846,37
final_annotations/crossnermodels/multicell/bert/balanced3/multilstm_music_art3.decode,Multi-Cell_BERT,music,balanced,,WORK_OF_ART,0.75,0.40540540540540543,0.5263157894736842,40
final_annotations/crossnermodels/multicell/bert/balanced3/multilstm_science_art3.decode,Multi-Cell_BERT,science,balanced,,WORK_OF_ART,0.8,0.32432432432432434,0.46153846153846156,30
final_annotations/crossnermodels/multicell/bert/balanced4/multilstm_music_art4.decode,Multi-Cell_BERT,music,balanced,,WORK_OF_ART,0.65,0.17567567567567569,0.2765957446808511,20
final_annotations/crossnermodels/multicell/bert/balanced4/multilstm_literature_art4.decode,Multi-Cell_BERT,literature,balanced,,WORK_OF_ART,0.75,0.24324324324324326,0.3673469387755103,24
final_annotations/crossnermodels/multicell/bert/balanced4/multilstm_ai_art.decode,Multi-Cell_BERT,ai,balanced,,WORK_OF_ART,0.7083333333333334,0.22972972972972974,0.34693877551020413,24
final_annotations/crossnermodels/multicell/bert/balanced4/multilstm_science_art4.decode,Multi-Cell_BERT,science,balanced,,WORK_OF_ART,0.7741935483870968,0.32432432432432434,0.45714285714285713,31
final_annotations/crossnermodels/multicell/bert/balanced4/multilstm_conll_art.decode,Multi-Cell_BERT,conll,balanced,,WORK_OF_ART,0.6521739130434783,0.40540540540540543,0.5,46
final_annotations/crossnermodels/multicell/bert/balanced4/multilstm_politics_art4.decode,Multi-Cell_BERT,politics,balanced,,WORK_OF_ART,0.7027027027027027,0.35135135135135137,0.46846846846846846,37
